variable,n_pairs,bias_sht31_minus_bme280,median_difference,mae_between_sensors,rmse_between_sensors,difference_standard_deviation,lower_95_agreement_limit,upper_95_agreement_limit,pearson_r,pearson_p,spearman_rho,spearman_p,lins_ccc
air_temperature_degC,43622,0.07141121452478108,0.08999999999999986,0.1236169822566595,0.1493228184592152,0.1311416669348198,-0.18562645266746572,0.3284488817170279,0.9997300916227186,0.0,0.9997634874128771,0.0,0.9995052058181748
relative_humidity_pct,43622,-5.795783549585072,-3.1400000000000006,7.730449085323919,10.442186955677071,8.686189676320241,-22.820715315172745,11.229148216002603,0.9198274355515433,0.0,0.8980785218579017,0.0,0.8026669342467307
