resolution,resolution_minutes,model,feature_set,candidate_id,parameters,fit_seconds,inference_seconds,mean_normalized_rmse,mean_rmse,mean_r2,minimum_r2
20min,20,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.10661690006963909,0.03914260002784431,0.368347529547839,3.086471439185547,0.8378498248735322,0.7667381152341228
20min,20,HIST_GRADIENT_BOOSTING,SHT_TIME,1,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31}",0.13191170000936836,0.11706700001377612,0.41819884952914377,3.463803928100947,0.7809394917119858,0.6283427623146007
20min,20,HIST_GRADIENT_BOOSTING,SHT_TIME,2,"{""l2_regularization"": 0.2, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 63}",0.2965497000841424,0.14757140004076064,0.42038826601280543,3.4904552260869024,0.7788380527727391,0.6217638683404687
20min,20,XGBOOST,SHT_TIME,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.06, ""max_depth"": 5, ""n_estimators"": 180, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.30347729998175055,0.032676300033926964,0.4486304888478085,3.7159752398221335,0.7384486596399341,0.4518148046703552
20min,20,XGBOOST,SHT_TIME,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""n_estimators"": 260, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.6264500999823213,0.033951599965803325,0.44783165475746933,3.724312180688816,0.7465065538184187,0.5509752813992865
30min,30,RANDOM_FOREST,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 140}",0.10425559990108013,0.028738400083966553,0.406341881344366,3.6942638712088955,0.7634726725840967,0.5889030632758474
30min,30,RANDOM_FOREST,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.12592050002422184,0.02824380004312843,0.4059204600398315,3.5948812183087844,0.7639343415755768,0.573540675146795
30min,30,EXTRA_TREES,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.0795536000514403,0.027777799987234175,0.3807838076684602,3.4402082671342082,0.7886606365251858,0.6504518244799549
30min,30,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.09283670003060251,0.02752489992417395,0.3762513504200333,3.341976501432155,0.79610019178721,0.6078001748251967
30min,30,HIST_GRADIENT_BOOSTING,SHT_TIME,1,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31}",0.10358599992468953,0.11005360004492104,0.43667997779104273,3.8099227212950146,0.7287899274024565,0.5448178272557176
30min,30,HIST_GRADIENT_BOOSTING,SHT_TIME,2,"{""l2_regularization"": 0.2, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 63}",0.13249190000351518,0.16277429996989667,0.4393219686513661,3.8226852239635036,0.7254969259949812,0.5409816543032419
30min,30,XGBOOST,SHT_TIME,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.06, ""max_depth"": 5, ""n_estimators"": 180, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.2315689999377355,0.03337720001582056,0.42842728061029023,3.8310161449619895,0.7368723215276296,0.5840192086195382
30min,30,XGBOOST,SHT_TIME,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""n_estimators"": 260, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.40986090002115816,0.04458760004490614,0.4108304993610328,3.643742183345542,0.7579062381021268,0.5943746302388837
60min,60,RANDOM_FOREST,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 140}",0.11684209993109107,0.017303299973718822,0.4827866961349611,4.1074054521354455,0.7154557993079953,0.5957630011607784
60min,60,RANDOM_FOREST,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.12571270007174462,0.02872990001924336,0.4550080885964902,3.8126573137371844,0.7488141272884387,0.6472291744823181
60min,60,EXTRA_TREES,SHT_TIME,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.07498119992669672,0.02839780005160719,0.44539739221493135,3.7862593473790094,0.7478715002628789,0.6013677538875414
60min,60,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.10771259991452098,0.028710799990221858,0.4614153969989229,3.8658881403561285,0.7400912687018804,0.6218020842612192
60min,60,HIST_GRADIENT_BOOSTING,SHT_TIME,1,"{""l2_regularization"": 0.0, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31}",0.07118389999959618,0.12001700000837445,0.49430420725426066,4.100217659444581,0.6989338411127777,0.5450898743930966
60min,60,HIST_GRADIENT_BOOSTING,SHT_TIME,2,"{""l2_regularization"": 0.2, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 63}",0.08410269999876618,0.1386382000055164,0.49570284714884344,4.104599505430219,0.6974718805995712,0.5520241472355238
60min,60,XGBOOST,SHT_TIME,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.06, ""max_depth"": 5, ""n_estimators"": 180, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.13781340001150966,0.02273059997241944,0.4336935318221333,3.4672337554969688,0.7486102875549102,0.47600568685546296
60min,60,XGBOOST,SHT_TIME,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""n_estimators"": 260, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.21467780007515103,0.032936199917458,0.4284216868770793,3.4373203029057278,0.7533396403469339,0.4252765723562948
