model,feature_set,split,mean_fit_seconds,mean_inference_seconds,n_metric_rows
EXTRA_TREES,SHT_AUX_TIME,test,0.2574560666301598,0.05031203334995856,24
EXTRA_TREES,SHT_AUX_TIME,validation,0.15174213331192732,0.04467870000128945,24
EXTRA_TREES,SHT_BASE,test,0.17538363335188478,0.04430556662070254,24
EXTRA_TREES,SHT_BASE,validation,0.11507806670852005,0.039816666627302766,24
EXTRA_TREES,SHT_MULTISENSOR_TIME,test,0.3189006000369166,0.05022873329774787,24
EXTRA_TREES,SHT_MULTISENSOR_TIME,validation,0.17241273331455886,0.041618066684653364,24
EXTRA_TREES,SHT_TIME,test,0.14252121997997164,0.03986586001701653,40
EXTRA_TREES,SHT_TIME,validation,0.10954086002893745,0.03801772000733763,40
HIST_GRADIENT_BOOSTING,SHT_TIME,test,0.4675385599723086,0.15912288001272828,40
HIST_GRADIENT_BOOSTING,SHT_TIME,validation,0.9485747799975798,0.6791865000035614,40
RANDOM_FOREST,SHT_AUX_TIME,test,0.16767649992834777,0.040205399971455336,8
RANDOM_FOREST,SHT_AUX_TIME,validation,0.14829769998323172,0.028439900022931397,8
RANDOM_FOREST,SHT_BASE,test,0.14621450006961823,0.03926280001178384,8
RANDOM_FOREST,SHT_BASE,validation,0.13720559992361814,0.027580699999816716,8
RANDOM_FOREST,SHT_MULTISENSOR_TIME,test,0.17442350008059293,0.0410472999792546,8
RANDOM_FOREST,SHT_MULTISENSOR_TIME,validation,0.14367790007963777,0.028802799992263317,8
RANDOM_FOREST,SHT_TIME,test,0.27475037998519836,0.0387523400131613,40
RANDOM_FOREST,SHT_TIME,validation,0.16787098003551365,0.030758020002394915,40
XGBOOST,SHT_AUX_TIME,test,0.865903600002639,0.04522529989480972,8
XGBOOST,SHT_AUX_TIME,validation,0.38121220003813505,0.03346359997522086,8
XGBOOST,SHT_BASE,test,0.4555244999937713,0.04355649999342859,8
XGBOOST,SHT_BASE,validation,0.20189749996643513,0.0332120000384748,8
XGBOOST,SHT_MULTISENSOR_TIME,test,1.1871716999448836,0.044275599997490644,8
XGBOOST,SHT_MULTISENSOR_TIME,validation,0.4749972999561578,0.03618539997842163,8
XGBOOST,SHT_TIME,test,1.3660480399848893,0.06724157999269664,40
XGBOOST,SHT_TIME,validation,0.7086884200107306,0.04495268000755459,40
