resolution,resolution_minutes,model,feature_set,candidate_id,parameters,mean_normalized_rmse,mean_rmse,mean_r2,minimum_r2,selection_rule
4min,4,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.3169529259479296,2.752507787479608,0.870384415087498,0.812681147260238,lowest mean validation NRMSE; mean validation R2 as secondary criterion
12min,12,RANDOM_FOREST,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 200}",0.4725722976989116,3.8525728785811895,0.7661605771862857,0.6950542927713398,lowest mean validation NRMSE; mean validation R2 as secondary criterion
20min,20,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.368347529547839,3.086471439185547,0.8378498248735322,0.7667381152341228,lowest mean validation NRMSE; mean validation R2 as secondary criterion
30min,30,EXTRA_TREES,SHT_TIME,2,"{""max_depth"": 18, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 220}",0.3762513504200333,3.341976501432155,0.79610019178721,0.6078001748251967,lowest mean validation NRMSE; mean validation R2 as secondary criterion
60min,60,XGBOOST,SHT_TIME,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""max_depth"": 6, ""n_estimators"": 260, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.4284216868770793,3.4373203029057278,0.7533396403469339,0.4252765723562948,lowest mean validation NRMSE; mean validation R2 as secondary criterion
