resolution,resolution_minutes,target,corrector,candidate_id,parameters,n_training_samples,n_test_samples,fit_seconds,inference_seconds,model_path
30min,30,temperature,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",220,350,0.800880299997516,0.02284660004079342,models\robust_residual_hybrid\30min\temperature\XGBOOST.joblib
30min,30,temperature,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",220,350,0.32589700003154576,0.03982069995254278,models\robust_residual_hybrid\30min\temperature\RANDOM_FOREST.joblib
30min,30,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",220,350,0.8094399999827147,0.09629499993752688,models\robust_residual_hybrid\30min\relative_humidity\HIST_GRADIENT_BOOSTING.joblib
30min,30,relative_humidity,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",220,350,0.20067259995266795,0.052886800025589764,models\robust_residual_hybrid\30min\relative_humidity\EXTRA_TREES.joblib
30min,30,relative_humidity,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",220,350,1.7582493000663817,0.02282099996227771,models\robust_residual_hybrid\30min\relative_humidity\XGBOOST.joblib
30min,30,relative_humidity,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",220,350,0.3364674999611452,0.040992800029926,models\robust_residual_hybrid\30min\relative_humidity\RANDOM_FOREST.joblib
60min,60,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",107,211,0.3300961999921128,0.08227700006682426,models\robust_residual_hybrid\60min\temperature\HIST_GRADIENT_BOOSTING.joblib
60min,60,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",107,211,0.16923949995543808,0.0386579999467358,models\robust_residual_hybrid\60min\temperature\EXTRA_TREES.joblib
60min,60,temperature,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",107,211,1.12554449995514,0.034385900013148785,models\robust_residual_hybrid\60min\temperature\XGBOOST.joblib
60min,60,temperature,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",107,211,0.23664589994587004,0.039503399981185794,models\robust_residual_hybrid\60min\temperature\RANDOM_FOREST.joblib
60min,60,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",107,211,0.3855617999797687,0.09539509995374829,models\robust_residual_hybrid\60min\relative_humidity\HIST_GRADIENT_BOOSTING.joblib
60min,60,relative_humidity,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",107,211,0.15623429999686778,0.05093610007315874,models\robust_residual_hybrid\60min\relative_humidity\EXTRA_TREES.joblib
60min,60,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",107,211,0.9718454999383539,0.03410050005186349,models\robust_residual_hybrid\60min\relative_humidity\XGBOOST.joblib
60min,60,relative_humidity,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",107,211,0.2506107999943197,0.039586200029589236,models\robust_residual_hybrid\60min\relative_humidity\RANDOM_FOREST.joblib
