resolution,resolution_minutes,target,corrector,candidate_id,parameters,mean_validation_nrmse,mean_validation_rmse,mean_validation_r2,minimum_validation_r2,fit_seconds,inference_seconds,selection_rule
20min,20,temperature,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2698007987090992,1.3131443156920615,0.8818648637885401,0.7962366261409329,0.3195730000734329,0.0752061998937279,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2630431103233205,1.2802540494902503,0.8876389881194007,0.8180610809020064,0.1517974000889808,0.03917420003563166,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,temperature,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.26558904121648025,1.2926453199998018,0.884584479206705,0.7886340138974077,0.5972690999042243,0.023129999986849725,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.2510800934842127,1.2220289899798056,0.8981807684473293,0.8414158652789081,0.21233210002537817,0.051213899976573884,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.3201565710998452,4.184861395506338,0.865904006037832,0.7792842137333079,0.489373299991712,0.1374498000368476,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.2750489910522751,3.5952468524179255,0.902095714442965,0.8588466624511131,0.14014409994706511,0.03852049994748086,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.2999502256357962,3.920738267293574,0.8845507604730846,0.8406358600928336,1.054193599964492,0.02320459997281432,lowest mean validation NRMSE; mean validation R2 secondary
20min,20,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.28313766424976367,3.700976296260826,0.8952641156142174,0.8539287160254476,0.19333030004054308,0.03958849993068725,lowest mean validation NRMSE; mean validation R2 secondary
30min,30,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2712418367148733,1.3197171141990438,0.8776479121297924,0.81139868476829,0.18941130000166595,0.07103240001015365,lowest mean validation NRMSE; mean validation R2 secondary
30min,30,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2763955530276637,1.344792330110024,0.8741651609035802,0.8100494900097132,0.13785199995618314,0.0386850000359118,lowest mean validation NRMSE; mean validation R2 secondary
30min,30,temperature,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.2874622930309085,1.3986371438657494,0.8662002611569676,0.7700155874874763,0.24095720006152987,0.023298899992369115,lowest mean validation NRMSE; mean validation R2 secondary
30min,30,temperature,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.2685825247466542,1.306778330274858,0.8817443321080632,0.8198946860872529,0.21766149997711182,0.04151789995376021,lowest mean validation NRMSE; mean validation R2 secondary
30min,30,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2975725776715436,3.887479990829126,0.8824687435065504,0.8230529482520287,0.25707529997453094,0.08305860008113086,lowest mean validation NRMSE; mean validation R2 secondary
30min,30,relative_humidity,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.2805997212145339,3.665747059723258,0.896637458661166,0.8533725760357872,0.1489415999967605,0.03883509989827871,lowest mean validation NRMSE; mean validation R2 secondary
30min,30,relative_humidity,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.3086719286496773,4.032481607497956,0.8764036960689099,0.8103451346595044,0.45851359993685037,0.022630700026638806,lowest mean validation NRMSE; mean validation R2 secondary
30min,30,relative_humidity,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.28341452031963255,3.702519518008553,0.8935328254417404,0.8411720071158694,0.2996023000450805,0.051141400006599724,lowest mean validation NRMSE; mean validation R2 secondary
60min,60,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2446441127588358,1.1847657629847361,0.8997457467330605,0.826474820753773,0.14223849994596094,0.07285110000520945,lowest mean validation NRMSE; mean validation R2 secondary
60min,60,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.24298466375156513,1.1767293612619962,0.901796889947422,0.8405542625260763,0.1321640000678599,0.03078179992735386,lowest mean validation NRMSE; mean validation R2 secondary
60min,60,temperature,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.27024635738750624,1.3087526537770353,0.8704722481340853,0.729926860829414,0.3568088000174612,0.02287430001888424,lowest mean validation NRMSE; mean validation R2 secondary
60min,60,temperature,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.2530811210661008,1.2256246190256297,0.8931558845118217,0.8220936712232743,0.17927740002050996,0.029286399949342012,lowest mean validation NRMSE; mean validation R2 secondary
60min,60,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2849465343485429,3.706855206279385,0.8819643622038925,0.783679017432426,0.12954170000739396,0.09508060000371188,lowest mean validation NRMSE; mean validation R2 secondary
60min,60,relative_humidity,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2732170427210592,3.554266836655051,0.8944397355360929,0.827851042693563,0.14897340000607073,0.038771299994550645,lowest mean validation NRMSE; mean validation R2 secondary
60min,60,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.2715729150033376,3.532878461449302,0.8932655076698345,0.8059921047561069,0.3953648000024259,0.023506200057454407,lowest mean validation NRMSE; mean validation R2 secondary
60min,60,relative_humidity,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.27277688149713925,3.548540801319264,0.8945217678157915,0.8285135434494286,0.18643520004116,0.030069499975070357,lowest mean validation NRMSE; mean validation R2 secondary
