resolution,target,fold_id,fit_end_index,fit_end_timestamp,n_origins,parameters,aic,bic,fit_seconds
30min,temperature,2,3307,2026-05-29 21:30:00,20,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",7043.355621039368,7067.713550936811,0.22703130007721484
30min,temperature,3,3342,2026-05-30 15:00:00,19,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",7093.698415461391,7118.099061249138,0.3465838000411168
30min,temperature,4,4692,2026-06-27 18:00:00,19,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",9488.70343884382,9514.477625448812,0.18973630003165454
60min,relative_humidity,1,690,2026-04-19 18:00:00,13,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",3089.972353819366,3107.9835140030286,0.07396439998410642
60min,relative_humidity,2,973,2026-05-01 13:00:00,12,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",4372.724693237253,4392.150541175631,0.11228240001946688
60min,relative_humidity,3,1651,2026-05-29 19:00:00,12,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",7803.708165549653,7825.288595735903,0.09555509989149868
60min,relative_humidity,4,1674,2026-05-30 18:00:00,12,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",7895.719132854229,7917.35567862991,0.09633109997957945
60min,temperature,1,690,2026-04-19 18:00:00,13,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",1908.8453231198705,1926.856483303533,0.058671999955549836
60min,temperature,2,973,2026-05-01 13:00:00,12,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",2623.016861778719,2642.4427097170974,0.08446909999474883
60min,temperature,3,1651,2026-05-29 19:00:00,12,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",4547.441536764102,4569.021966950352,0.19097529991995543
60min,temperature,4,1674,2026-05-30 18:00:00,12,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",4597.27926319912,4618.9158089748,0.20419069996569306
