resolution,resolution_minutes,target,corrector,candidate_id,parameters,mean_validation_nrmse,mean_validation_rmse,mean_validation_r2,minimum_validation_r2,fit_seconds,inference_seconds
4min,4,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.2869775183541152,3.755806888392007,0.8938739880992718,0.8337553830719363,1.0044594999635592,0.03911320003680885
4min,4,relative_humidity,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.2886225279676327,3.777335886459013,0.892628759206904,0.8328758691233602,1.5177934999810532,0.04013500001747161
4min,4,relative_humidity,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.28957610185939536,3.789815746943603,0.8919024197825456,0.8319697702057796,1.6835612999275327,0.05047829996328801
12min,12,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.26849192017045004,1.3086195833194196,0.8931969767988697,0.8341329337445669,0.21268170000985265,0.07018299994524568
12min,12,temperature,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.2680117292977944,1.306279150954492,0.893692717772695,0.8395577764100246,0.31502820004243404,0.10025419993326068
12min,12,temperature,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2698454421718464,1.3152165989627822,0.8923696088590851,0.8462392080703964,0.21960980002768338,0.06917949998751283
12min,12,temperature,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.2824055108502468,1.3764339042357199,0.8804335706267687,0.8069268872304488,0.1301274000434205,0.038509199977852404
12min,12,temperature,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.2798454283883104,1.3639561580060542,0.8822649757780577,0.8034567516750489,0.14687509997747838,0.03804879996459931
12min,12,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2755221392442726,1.3428846083123107,0.885142231161973,0.7983384344911937,0.15328009997028857,0.038121100049465895
12min,12,temperature,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.3005443547897809,1.464841951610032,0.8599154480460258,0.7513629496667125,0.4535118999192491,0.0228227999759838
12min,12,temperature,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.29355889128895873,1.430795063607087,0.8663861033442934,0.7590620460891662,0.6816480000270531,0.02218540001194924
12min,12,temperature,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.29704199966835476,1.4477716036579307,0.8631598147128706,0.758431447166204,0.2531480999896303,0.023208900005556643
12min,12,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.29053434167897785,1.4160535218585328,0.8705999726522428,0.766709227004792,0.18441940005868673,0.03950650000479072
12min,12,temperature,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.2875331075419092,1.4014256188534762,0.873201687414507,0.7685000844164329,0.20609590003732592,0.03802420001011342
12min,12,temperature,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.2842341990926105,1.38534686237697,0.8756026012717638,0.7650753119875127,0.21482720004860312,0.03847769997082651
12min,12,relative_humidity,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.30898725508123553,4.042986012635316,0.880702893577112,0.8316644676416656,0.17942539998330176,0.08349740004632622
12min,12,relative_humidity,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.30996030657612683,4.055718038046478,0.8799670016630454,0.8319463573501622,0.37824680004268885,0.12779180007055402
12min,12,relative_humidity,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.3119793678673316,4.082136721745416,0.8784984864909404,0.8303723718066885,0.20643849996849895,0.09451500000432134
12min,12,relative_humidity,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.3023758817107779,3.956478593246634,0.8830213637625692,0.7967066438681774,0.13426189997699112,0.03906900004949421
12min,12,relative_humidity,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.30043835266563357,3.9311267293759595,0.8843167613815586,0.7968620161872246,0.15465720009524375,0.060927300015464425
12min,12,relative_humidity,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.28734552245966455,3.759811801274394,0.8946704543267114,0.8186533012020469,0.1602935999399051,0.04031850001774728
12min,12,relative_humidity,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.31812892701976137,4.162601469816045,0.8686045134989254,0.7555486207415805,0.45733939995989203,0.022790900082327425
12min,12,relative_humidity,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.3120075697321922,4.082505732904569,0.8734881030009235,0.7619627696187189,0.6195733000058681,0.023262999951839447
12min,12,relative_humidity,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.32012599168191513,4.1887323356127375,0.8673490254549423,0.7603722138863828,0.23315049998927861,0.023016099934466183
12min,12,relative_humidity,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.2975260562865605,3.8930203889634867,0.8859745754133377,0.7938628034420494,0.19027400005143136,0.040725399972870946
12min,12,relative_humidity,RANDOM_FOREST,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.29385847368342793,3.845031402619208,0.8886279628660995,0.7966298819328209,0.19441819994244725,0.03929920005612075
12min,12,relative_humidity,RANDOM_FOREST,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 300}",0.28922857121180723,3.7844508102976673,0.8924888869259601,0.8063252786737886,0.22631219995673746,0.04011139995418489
