resolution,model,target,horizon_minutes,alpha,validation_mae,fit_seconds,inference_seconds
20min,VAR_DIRECT_RIDGE,relative_humidity,60,10.0,2.365404746620904,0.0022569000720977783,0.0002631999086588621
20min,VAR_DIRECT_RIDGE,relative_humidity,60,100.0,3.0525564020613287,0.0022009999956935644,0.00038059998769313097
20min,VAR_DIRECT_RIDGE,relative_humidity,120,0.01,3.3265502866714565,0.010894600069150329,0.0007905999664217234
20min,VAR_DIRECT_RIDGE,relative_humidity,120,0.1,2.975484600781555,0.006556799984537065,0.0002736999886110425
20min,VAR_DIRECT_RIDGE,relative_humidity,120,1.0,2.984048585241379,0.003060900024138391,0.00031669996678829193
20min,VAR_DIRECT_RIDGE,relative_humidity,120,10.0,3.055734561500114,0.002826699987053871,0.0010837999871000648
20min,VAR_DIRECT_RIDGE,relative_humidity,120,100.0,3.5695162927744564,0.003133399994112551,0.00033439998514950275
20min,VAR_DIRECT_RIDGE,relative_humidity,240,0.01,3.9820547451542265,0.011382800061255693,0.00042940001003444195
20min,VAR_DIRECT_RIDGE,relative_humidity,240,0.1,3.747280884322631,0.0054561999859288335,0.00036399997770786285
20min,VAR_DIRECT_RIDGE,relative_humidity,240,1.0,3.633348128126103,0.00563289993442595,0.0003963999915868044
20min,VAR_DIRECT_RIDGE,relative_humidity,240,10.0,3.508969428275368,0.0022409000666812062,0.00030770001467317343
20min,VAR_DIRECT_RIDGE,relative_humidity,240,100.0,3.7404426247725238,0.0016033999854698777,0.0003003000747412443
20min,VAR_DIRECT_RIDGE,relative_humidity,480,0.01,5.6472480465757835,0.011078499956056476,0.00040040002204477787
20min,VAR_DIRECT_RIDGE,relative_humidity,480,0.1,4.559920858648838,0.00594719999935478,0.0003008999628946185
20min,VAR_DIRECT_RIDGE,relative_humidity,480,1.0,3.8760843899278354,0.0035180000122636557,0.00034469994716346264
