family_a,family_b,resolution_minutes,target,horizon_minutes,n_origins,newey_west_lag,mean_squared_error_difference_a_minus_b,newey_west_long_run_variance,dm_statistic,p_value,status,direction,p_value_holm_global,significant_after_global_holm
HYBRID_ROBUST,BASELINE,4,relative_humidity,60,2742,14,-12.949534866776164,11975.661893237182,-6.196381254997787,5.777608060592042e-10,ok,HYBRID_ROBUST_better,1.1324111798760402e-07,True
HYBRID_ROBUST,BASELINE,4,relative_humidity,120,2742,29,-9.023441503910936,12709.06510950313,-4.191303694602783,2.7735610593114963e-05,ok,HYBRID_ROBUST_better,0.004909203074981348,True
HYBRID_ROBUST,BASELINE,4,relative_humidity,240,2742,59,-4.393016516429377,10646.23238066752,-2.229454382535077,0.02578368728636588,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,4,relative_humidity,480,2742,119,-4.178828201659034,9644.173210879326,-2.228208062337157,0.025866643692465774,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,4,temperature,60,2742,14,-2.3345963873263087,274.32213104748774,-7.3809984039405805,1.5710689104514663e-13,ok,HYBRID_ROBUST_better,3.142137820902933e-11,True
HYBRID_ROBUST,BASELINE,4,temperature,120,2742,29,-1.5534594171746106,200.98861749545605,-5.737833026585528,9.589558737561676e-09,ok,HYBRID_ROBUST_better,1.841195277611842e-06,True
HYBRID_ROBUST,BASELINE,4,temperature,240,2742,59,-0.6734286045570839,134.750775664704,-3.037803288248157,0.002383094622988168,ok,HYBRID_ROBUST_better,0.3812951396781069,False
HYBRID_ROBUST,BASELINE,4,temperature,480,2742,119,-0.10691335485757747,37.8347305917145,-0.9101654799177844,0.36273524620346664,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,12,relative_humidity,60,378,4,-8.029205465634158,1441.626040034204,-4.111423011675258,3.932279991007431e-05,ok,HYBRID_ROBUST_better,0.00684216718435293,True
HYBRID_ROBUST,BASELINE,12,relative_humidity,120,378,9,-8.399801871379587,2081.0196124286667,-3.579949131398667,0.0003436611009278536,ok,HYBRID_ROBUST_better,0.05842238715773511,False
HYBRID_ROBUST,BASELINE,12,relative_humidity,240,378,19,-5.080819943410027,1604.0073998756332,-2.466473879816289,0.013645067994874147,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,12,relative_humidity,480,378,39,-1.158974991072064,439.00766534723596,-1.0754343720470398,0.28218029991154503,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,12,temperature,60,378,4,-2.522869506302918,76.5131025450695,-5.6075451767049715,2.052164568908307e-08,ok,HYBRID_ROBUST_better,3.8785910352367e-06,True
HYBRID_ROBUST,BASELINE,12,temperature,120,378,9,-1.5999469512973101,31.386532903061795,-5.552388051853327,2.8179317908636114e-08,ok,HYBRID_ROBUST_better,5.2977117668235894e-06,True
HYBRID_ROBUST,BASELINE,12,temperature,240,378,19,-0.8817979215115894,24.482205554245898,-3.464891987694509,0.0005304444775501671,ok,HYBRID_ROBUST_better,0.0885842277508779,False
HYBRID_ROBUST,BASELINE,12,temperature,480,378,39,-0.15014654554587226,3.714056744186351,-1.5147361049997417,0.12983924716679177,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,20,relative_humidity,60,556,2,-11.112923873563538,1913.6335296181214,-5.990131399803513,2.096715650986994e-09,ok,HYBRID_ROBUST_better,4.0676283629147684e-07,True
HYBRID_ROBUST,BASELINE,20,relative_humidity,120,556,5,-9.918804547449382,2956.8265106684253,-4.30114225502611,1.6991992761461414e-05,ok,HYBRID_ROBUST_better,0.003075550689824516,True
HYBRID_ROBUST,BASELINE,20,relative_humidity,240,556,11,-4.247632745291811,2162.424737696527,-2.1538420693949747,0.03125255927579538,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,20,relative_humidity,480,556,23,-1.1882927013579616,472.00681404911,-1.2896940353215065,0.19715691137663482,ok,HYBRID_ROBUST_better,1.0,False
