architecture,mean_fit_seconds,total_fit_seconds,mean_inference_seconds,total_inference_seconds,mean_epochs,independent_runs
GRU,26.370452166666897,395.55678250000346,0.47823967998847366,7.173595199827105,58.4,3
LSTM,22.0272824266615,330.4092363999225,0.534856213334327,8.022843200014904,66.2,3
MLP,2.4729456266621126,37.09418439993169,0.1152970333583653,1.7294555003754795,42.2,3
TCN,12.92906833999635,193.93602509994525,0.4697101599924887,7.045652399887331,56.4,3
