resolution,architecture,candidate_id,seed,training_scope,epoch,loss,val_loss
4min,MLP,1,2026,train_with_validation_monitoring,1,1.4759420156478882,0.6600252985954285
4min,MLP,1,2026,train_with_validation_monitoring,2,0.8051049709320068,0.3839843273162842
4min,MLP,1,2026,train_with_validation_monitoring,3,0.5135486721992493,0.46962642669677734
4min,MLP,1,2026,train_with_validation_monitoring,4,0.4006236493587494,0.2918432950973511
4min,MLP,1,2026,train_with_validation_monitoring,5,0.3347852826118469,0.25280702114105225
4min,MLP,1,2026,train_with_validation_monitoring,6,0.29028722643852234,0.3100224733352661
4min,MLP,1,2026,train_with_validation_monitoring,7,0.28247466683387756,0.20931509137153625
4min,MLP,1,2026,train_with_validation_monitoring,8,0.2403300404548645,0.317473828792572
4min,MLP,1,2026,train_with_validation_monitoring,9,0.23346777260303497,0.2757447063922882
4min,MLP,1,2026,train_with_validation_monitoring,10,0.2273031324148178,0.29191118478775024
4min,MLP,1,2026,train_with_validation_monitoring,11,0.22549109160900116,0.2258843630552292
4min,MLP,1,2026,train_with_validation_monitoring,12,0.22959676384925842,0.23094750940799713
4min,MLP,1,2026,train_with_validation_monitoring,13,0.23635928332805634,0.23053647577762604
4min,MLP,1,2026,train_with_validation_monitoring,14,0.2034851610660553,0.19839128851890564
4min,MLP,1,2026,train_with_validation_monitoring,15,0.19525694847106934,0.17422817647457123
4min,MLP,1,2026,train_with_validation_monitoring,16,0.17391376197338104,0.2054704874753952
4min,MLP,1,2026,train_with_validation_monitoring,17,0.17471244931221008,0.1768040955066681
4min,MLP,1,2026,train_with_validation_monitoring,18,0.16787245869636536,0.21035659313201904
4min,MLP,1,2026,train_with_validation_monitoring,19,0.1702682077884674,0.20571543276309967
4min,MLP,1,2026,train_with_validation_monitoring,20,0.16518576443195343,0.20519299805164337
4min,MLP,1,2026,train_with_validation_monitoring,21,0.15822236239910126,0.19222506880760193
4min,MLP,1,2026,train_with_validation_monitoring,22,0.14542122185230255,0.203553706407547
4min,MLP,1,2026,train_with_validation_monitoring,23,0.14527323842048645,0.18619392812252045
4min,MLP,1,2026,train_with_validation_monitoring,24,0.14755265414714813,0.18773508071899414
4min,MLP,1,2026,train_with_validation_monitoring,25,0.1450270414352417,0.17354974150657654
4min,MLP,1,2026,train_with_validation_monitoring,26,0.14898712933063507,0.23338621854782104
4min,MLP,1,2026,train_with_validation_monitoring,27,0.13676218688488007,0.16855362057685852
4min,MLP,1,2026,train_with_validation_monitoring,28,0.14249081909656525,0.19380567967891693
4min,MLP,1,2026,train_with_validation_monitoring,29,0.13909728825092316,0.1798560619354248
4min,MLP,1,2026,train_with_validation_monitoring,30,0.1404547244310379,0.17347051203250885
4min,MLP,1,2026,train_with_validation_monitoring,31,0.14059396088123322,0.17837540805339813
4min,MLP,1,2026,train_with_validation_monitoring,32,0.13449107110500336,0.17545366287231445
4min,MLP,1,2026,train_with_validation_monitoring,33,0.13412003219127655,0.17832916975021362
4min,MLP,1,2026,train_with_validation_monitoring,34,0.13386592268943787,0.1714508980512619
4min,MLP,1,2026,train_with_validation_monitoring,35,0.1384262889623642,0.17203782498836517
4min,MLP,1,2026,train_with_validation_monitoring,36,0.13564461469650269,0.16688908636569977
4min,MLP,1,2026,train_with_validation_monitoring,37,0.12678702175617218,0.1656126230955124
4min,MLP,1,2026,train_with_validation_monitoring,38,0.12247838824987411,0.16919143497943878
4min,MLP,1,2026,train_with_validation_monitoring,39,0.13632149994373322,0.17783105373382568
4min,MLP,1,2026,train_with_validation_monitoring,40,0.12842145562171936,0.17279987037181854
4min,MLP,1,2026,train_with_validation_monitoring,41,0.12577813863754272,0.17368139326572418
4min,MLP,1,2026,train_with_validation_monitoring,42,0.12464465945959091,0.16831421852111816
4min,MLP,1,2026,train_with_validation_monitoring,43,0.11667689681053162,0.17383921146392822
4min,MLP,1,2026,train_with_validation_monitoring,44,0.12615396082401276,0.1651293784379959
4min,MLP,1,2026,train_with_validation_monitoring,45,0.12203869223594666,0.17538556456565857
4min,MLP,1,2026,train_with_validation_monitoring,46,0.12120123952627182,0.16799794137477875
4min,MLP,1,2026,train_with_validation_monitoring,47,0.13120965659618378,0.17518353462219238
4min,MLP,1,2026,train_with_validation_monitoring,48,0.13095511496067047,0.17147456109523773
4min,MLP,1,2026,train_with_validation_monitoring,49,0.11849505454301834,0.16533198952674866
4min,MLP,1,2026,train_with_validation_monitoring,50,0.1249089390039444,0.1746067851781845
4min,MLP,1,2026,train_with_validation_monitoring,51,0.12223315984010696,0.17765089869499207
4min,MLP,1,2026,train_with_validation_monitoring,52,0.12208138406276703,0.1715487688779831
4min,MLP,1,2026,train_with_validation_monitoring,53,0.11580417305231094,0.1779211461544037
4min,MLP,1,2026,train_with_validation_monitoring,54,0.11982806026935577,0.17784005403518677
4min,MLP,1,2027,train_with_validation_monitoring,1,1.4209293127059937,0.6466725468635559
4min,MLP,1,2027,train_with_validation_monitoring,2,0.7284714579582214,0.3776533901691437
4min,MLP,1,2027,train_with_validation_monitoring,3,0.486451655626297,0.41144871711730957
4min,MLP,1,2027,train_with_validation_monitoring,4,0.40989816188812256,0.24283669888973236
4min,MLP,1,2027,train_with_validation_monitoring,5,0.3447050154209137,0.2878321707248688
4min,MLP,1,2027,train_with_validation_monitoring,6,0.305838018655777,0.21371902525424957
4min,MLP,1,2027,train_with_validation_monitoring,7,0.2640773057937622,0.18961434066295624
4min,MLP,1,2027,train_with_validation_monitoring,8,0.2554664611816406,0.20136277377605438
4min,MLP,1,2027,train_with_validation_monitoring,9,0.23308295011520386,0.23286870121955872
4min,MLP,1,2027,train_with_validation_monitoring,10,0.22091926634311676,0.256984144449234
4min,MLP,1,2027,train_with_validation_monitoring,11,0.21841298043727875,0.19899827241897583
