resolution,resolution_minutes,family,candidate_id,parameters
30min,30,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}"
30min,30,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}"
30min,30,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}"
30min,30,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}"
30min,30,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}"
30min,30,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}"
30min,30,SARIMA_EXACT,1,"{""order"": [1, 0, 0], ""seasonal_order_base"": [1, 0, 0], ""trend"": ""c""}"
30min,30,SARIMA_EXACT,2,"{""order"": [1, 0, 1], ""seasonal_order_base"": [0, 1, 1], ""trend"": ""c""}"
30min,30,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}"
30min,30,STATE_SPACE,2,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}"
30min,30,STATE_SPACE,3,"{""autoregressive"": 2, ""harmonics"": 6, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}"
30min,30,ARTFIMA_APPROX,1,"{""arma_order"": [1, 0], ""fractional_d"": 0.15, ""tempering_lambda"": 0.005}"
30min,30,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}"
30min,30,ARTFIMA_APPROX,3,"{""arma_order"": [2, 0], ""fractional_d"": 0.35, ""tempering_lambda"": 0.01}"
30min,30,ARTFIMA_APPROX,4,"{""arma_order"": [2, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.02}"
60min,60,ARIMA,1,"{""order"": [1, 0, 0], ""trend"": ""c""}"
60min,60,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}"
60min,60,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}"
60min,60,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}"
60min,60,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}"
60min,60,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}"
60min,60,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}"
60min,60,SARIMA_EXACT,1,"{""order"": [1, 0, 0], ""seasonal_order_base"": [1, 0, 0], ""trend"": ""c""}"
60min,60,SARIMA_EXACT,2,"{""order"": [1, 0, 1], ""seasonal_order_base"": [0, 1, 1], ""trend"": ""c""}"
60min,60,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}"
60min,60,STATE_SPACE,2,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}"
60min,60,STATE_SPACE,3,"{""autoregressive"": 2, ""harmonics"": 6, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}"
60min,60,ARTFIMA_APPROX,1,"{""arma_order"": [1, 0], ""fractional_d"": 0.15, ""tempering_lambda"": 0.005}"
60min,60,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}"
60min,60,ARTFIMA_APPROX,3,"{""arma_order"": [2, 0], ""fractional_d"": 0.35, ""tempering_lambda"": 0.01}"
60min,60,ARTFIMA_APPROX,4,"{""arma_order"": [2, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.02}"
