resolution,target,family,candidate_id,parameters,fit_partition,fit_rows,fit_median,fit_seconds,inference_seconds,aic,bic,status
4min,relative_humidity,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}",train,37800,70.22,5.807433600071818,11.598277400014922,47770.98240010593,47805.142657632365,ok
4min,relative_humidity,ARTFIMA_APPROX,3,"{""arma_order"": [2, 0], ""fractional_d"": 0.35, ""tempering_lambda"": 0.01}",train,37800,70.22,6.58211019996088,11.426135699963197,48445.125400439734,48479.28565796617,ok
4min,relative_humidity,ARTFIMA_APPROX,4,"{""arma_order"": [2, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.02}",train,37800,70.22,17.07081130007282,10.152717799996026,46674.77730192906,46717.4776238371,ok
12min,temperature,ARIMA,1,"{""order"": [1, 0, 0], ""trend"": ""c""}",train,12600,22.746111111111112,0.326841100002639,0.43955420004203916,15309.368187953885,15331.692544232705,ok
12min,temperature,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}",train,12600,22.746111111111112,0.6393476999364793,0.49588740000035614,7202.433297839218,7232.1991062109755,ok
12min,temperature,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}",train,12600,22.746111111111112,2.2315729000838473,0.48814280005171895,9936.978773843459,9966.744582215217,ok
12min,temperature,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}",train,12600,22.746111111111112,1.2492944999830797,0.5551539999432862,7259.01775480845,7288.783245707293,ok
12min,temperature,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,12600,22.746111111111112,0.2751967000076547,0.4605695999925956,13029.166396539385,13051.462044465155,ok
12min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,12600,22.746111111111112,0.6637374999700114,0.47897309996187687,11306.384264847879,11336.111795415572,ok
12min,temperature,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train,12600,22.746111111111112,1.4667077000485733,0.4914969999808818,11385.64113626217,11415.368666829863,ok
12min,temperature,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}",train,12600,22.746111111111112,2.435104400035925,0.3481769999489188,8176.459931528348,8213.664413443377,ok
12min,temperature,STATE_SPACE,2,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,12600,22.746111111111112,11.948277999996208,0.3448052000021562,8195.143458150505,8239.788359974447,ok
12min,temperature,STATE_SPACE,3,"{""autoregressive"": 2, ""harmonics"": 6, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,12600,22.746111111111112,40.20034739992116,0.49189609999302775,4845.168924319757,4897.251306868365,ok
12min,temperature,ARTFIMA_APPROX,1,"{""arma_order"": [1, 0], ""fractional_d"": 0.15, ""tempering_lambda"": 0.005}",train,12600,22.746111111111112,1.106352600036189,0.720905700000003,11360.400881907806,11382.725238186626,ok
12min,temperature,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}",train,12600,22.746111111111112,2.293324499973096,0.6753048000391573,7806.914649492645,7836.680457864403,ok
12min,temperature,ARTFIMA_APPROX,3,"{""arma_order"": [2, 0], ""fractional_d"": 0.35, ""tempering_lambda"": 0.01}",train,12600,22.746111111111112,2.8573753000237048,0.6131180999800563,7691.428063806421,7721.193872178179,ok
12min,temperature,ARTFIMA_APPROX,4,"{""arma_order"": [2, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.02}",train,12600,22.746111111111112,3.701625799993053,0.573864399921149,7362.080147232757,7399.287407697455,ok
12min,relative_humidity,ARIMA,1,"{""order"": [1, 0, 0], ""trend"": ""c""}",train,12600,70.21583333333332,0.2617385999765247,0.4440047999378294,39531.70132524797,39554.025681526786,ok
12min,relative_humidity,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}",train,12600,70.21583333333332,0.46022330003324896,0.47253140003886074,32016.6860217653,32046.45183013706,ok
12min,relative_humidity,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}",train,12600,70.21583333333332,0.7715902000200003,0.44982939993496984,34763.80800968028,34793.57381805204,ok
12min,relative_humidity,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}",train,12600,70.21583333333332,0.8762923999456689,0.5193339999532327,31767.049332338203,31796.814823237048,ok
12min,relative_humidity,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,12600,70.21583333333332,0.2323060999624431,0.43513620004523546,37623.92313029479,37646.21877822056,ok
12min,relative_humidity,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,12600,70.21583333333332,0.41037559998221695,0.455142299993895,36238.59703675506,36268.32456732276,ok
12min,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train,12600,70.21583333333332,1.1553493000101298,0.43878359999507666,36362.02241978771,36391.749950355406,ok
12min,relative_humidity,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}",train,12600,70.21583333333332,2.2091971000190824,0.32635780004784465,32157.51828979865,32194.722771713678,ok
12min,relative_humidity,STATE_SPACE,2,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,12600,70.21583333333332,9.14945839997381,0.33517310000024736,32175.58816789344,32220.233069717382,ok
12min,relative_humidity,STATE_SPACE,3,"{""autoregressive"": 2, ""harmonics"": 6, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,12600,70.21583333333332,25.356389199965633,0.43298539996612817,29499.136155944907,29551.218538493515,ok
