resolution,feature_set,history_hours,split,n_samples
20min,SHT_MULTISENSOR_TIME,12,validation,0
20min,SHT_MULTISENSOR_TIME,12,test,0
20min,SHT_MULTISENSOR_TIME,24,train,6
20min,SHT_MULTISENSOR_TIME,24,validation,0
20min,SHT_MULTISENSOR_TIME,24,test,0
20min,SHT_MULTISENSOR_TIME,48,train,0
20min,SHT_MULTISENSOR_TIME,48,validation,0
20min,SHT_MULTISENSOR_TIME,48,test,0
30min,SHT_BASE,6,train,45
30min,SHT_BASE,6,validation,3
30min,SHT_BASE,6,test,47
30min,SHT_BASE,12,train,45
30min,SHT_BASE,12,validation,0
30min,SHT_BASE,12,test,30
30min,SHT_BASE,24,train,27
30min,SHT_BASE,24,validation,0
30min,SHT_BASE,24,test,0
30min,SHT_BASE,48,train,0
30min,SHT_BASE,48,validation,0
30min,SHT_BASE,48,test,0
30min,SHT_TIME,6,train,45
30min,SHT_TIME,6,validation,3
30min,SHT_TIME,6,test,47
30min,SHT_TIME,12,train,45
30min,SHT_TIME,12,validation,0
30min,SHT_TIME,12,test,30
30min,SHT_TIME,24,train,27
30min,SHT_TIME,24,validation,0
30min,SHT_TIME,24,test,0
30min,SHT_TIME,48,train,0
30min,SHT_TIME,48,validation,0
30min,SHT_TIME,48,test,0
30min,SHT_AUX_TIME,6,train,45
30min,SHT_AUX_TIME,6,validation,3
30min,SHT_AUX_TIME,6,test,47
30min,SHT_AUX_TIME,12,train,45
30min,SHT_AUX_TIME,12,validation,0
30min,SHT_AUX_TIME,12,test,30
30min,SHT_AUX_TIME,24,train,27
30min,SHT_AUX_TIME,24,validation,0
30min,SHT_AUX_TIME,24,test,0
30min,SHT_AUX_TIME,48,train,0
30min,SHT_AUX_TIME,48,validation,0
30min,SHT_AUX_TIME,48,test,0
30min,SHT_MULTISENSOR_TIME,6,train,38
30min,SHT_MULTISENSOR_TIME,6,validation,2
30min,SHT_MULTISENSOR_TIME,6,test,10
30min,SHT_MULTISENSOR_TIME,12,train,29
30min,SHT_MULTISENSOR_TIME,12,validation,0
30min,SHT_MULTISENSOR_TIME,12,test,3
30min,SHT_MULTISENSOR_TIME,24,train,6
30min,SHT_MULTISENSOR_TIME,24,validation,0
30min,SHT_MULTISENSOR_TIME,24,test,0
30min,SHT_MULTISENSOR_TIME,48,train,0
30min,SHT_MULTISENSOR_TIME,48,validation,0
30min,SHT_MULTISENSOR_TIME,48,test,0
60min,SHT_BASE,6,train,23
60min,SHT_BASE,6,validation,0
60min,SHT_BASE,6,test,24
60min,SHT_BASE,12,train,23
60min,SHT_BASE,12,validation,0
60min,SHT_BASE,12,test,17
60min,SHT_BASE,24,train,12
60min,SHT_BASE,24,validation,0
60min,SHT_BASE,24,test,0
60min,SHT_BASE,48,train,0
